sequence	label
EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMML MMLL MLLK LLKK LKKL KKLL KLLL LLLL LLLM LLMM LMMM MMMM MMML MMLL	0
OOON OONN ONNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNM	0
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNO NNOO NOOO	0
ABBB BBBC BBCD BCDD CDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
GGGG GGGG GGGG GGGG GGGG GGGB GGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBB BBBB BBBE BBEE BEEE EEEE EEEE EEEE EEEG	1
EEEE EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDC DDCB DCBA	1
KLLN LLNN LNNN NNNN NNNN NNNJ NNJA NJAA JAAA AAAA AAAA AAAA AAAB AABB ABBC BBCC BCCF CCFF CFFF FFFF FFFD FFDD FDDD DDDD DDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	0
OOOG OOGO OGOO GOOO	0
OOON OONN ONNN NNNN NNNN NNNN NNNN NNNN	0
EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABA ABAB BABB ABBB BBBB BBBA BBAA BAAE AAED	1
OOON OONN ONNN NNNG NNGN NGNN GNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
AABB ABBA BBAA BAAA AAAA AAAA AAAB AABC ABCF BCFD CFDD FDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
OOOI OOII OIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFD FFDD FDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEGB EGBA GBAB BABA ABAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBB BBBB BBBB BBBE BBEE BEEE EEEE EEED	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
NNNL NNLL NLLL LLLL LLLK LLKK LKKJ KKJJ KJJJ JJJK JJKK JKKK KKKA KKAA KAAA AAAA AAAA AAAA AAAA AAAB AABB ABBB BBBB BBBG BBGB BGBB GBBG	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAF AAFF AFFD FFDD FDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE	1
AAAA AAAA AAAA AAAE AAEE AEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDED DEDD EDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
IIIO IIOG IOGG OGGG GGGG GGGE GGEE GEEG EEGG EGGL GGLN GLNN LNNN NNNN NNNN NNNN NNNN	0
AGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGB GGBA GBAA BAAA AAAA AAAA AAAA AAAB	1
EEEE EEEE EEEG EEGG EGGG GGGE GGEE GEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
EGBB GBBB BBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABE ABED BEDD EDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAB AABB ABBA BBAE BAEE AEED EEDD	1
GGEE GEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNM NNMM NMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMML MMLM MLMM	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEGG EGGG GGGG GGGG GGGF GGFF GFFF FFFF FFFF FFFF FFFF FFFF FFFC FFCC FCCC CCCA CCAA CAAA AAAA AAAA AAAA AAAA AAAA AAAA	1
OOOI OOII OIII IIIO IIOO IOOO	0
OOOG OOGG OGGB GGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCD CCDD CDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEG	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEB EEBC EBCB BCBB CBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAB AABB ABBB BBBE BBEE	1
EEGB EGBB GBBB BBBA BBAB BABA ABAA BAAA AAAA AAAA AAAA AAAA AAAO AAOO AOOO	1
GGGG GGGG GGGB GGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACD ACDD CDDD DDDD DDDD DDDD	1
EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAB	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
OGGG GGGG GGGG GGGI GGII GIII IIII IIIO IIOO IOOO	0
OOOG OOGG OGGA GGAA GAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAED AEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
FFFB FFBB FBBB BBBB BBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCC CCCC CCCC CCCC CCCC CCCD CCDD CDDD DDDF DDFF	1
EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
OOGG OGGG GGGG GGGB GGBB GBBB BBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCC CCCC CCCC CCCC CCCC CCCC CCCC CCCC CCCD CCDD CDDD	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNL NNLB NLBB LBBB BBBG BBGN BGNN GNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCC CCCC CCCC CCCC CCCC	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
